Per Capita Crime,Durham,North Yorkshire,South Yorkshire,GreaterManchester,Cheshire,Lancashire,Derbyshire,Leicestershire,Lincolnshire,Warwickshire,West Midlands,Essex,Hertfordshire,Suffolk,Metropolitan and City,Thames Valley,Hampshire,Kent,Gloucestershire,Dorset,,,,,
Sep-15,3.893218416,4.020318691,5.15968065,5.118030309,4.779894701,6.014669231,1.173643488,2.417639095,4.739026333,4.09410595,3.72207807,2.648099532,3.012720528,1.357257255,3.898006178,3.019755239,3.377409906,3.806740832,3.170577045,5.08493968,,,,,
Oct-15,4.295965149,3.819302756,6.42093592,3.355153203,3.540662741,8.092464057,1.393701642,2.686265661,4.739026333,2.924361393,4.680795149,3.378609748,3.560487896,3.619352679,3.949521679,3.086860911,3.789289162,3.897377518,3.170577045,9.746134386,,,,,
Nov-15,2.906489,3.881043,4.721927,4.349107,4.709081,6.281814,1.559531,2.533244,4.069142,3.225153,4.294202,3.049119,3.242587,2.413575,3.922885,2.707714,3.247687,4.103252,2.867674,6.122358,,,,,
Dec-15,3.221973862,7.437589578,5.15968065,4.435626268,3.540662741,6.124026854,1.320348924,0.984964076,4.513358413,2.339489114,3.440102459,2.830727086,0.684709211,2.262095424,3.468710344,1.744747471,3.706913311,3.897377518,3.963221306,9.746134386,,,,,
Pred. Dec,3.242111,3.867283,5.194898,4.001812,4.734372,7.094185,1.537263,2.626784,4.005337,3.287818,4.314908,2.938238,3.242587,2.332786,3.922885,2.805576,3.082181,4.068454,3.057971,6.195377,,,,,
Difference,0.020137138,-3.570306578,0.03521735,-0.433814268,1.193709259,0.970158146,0.216914076,1.641819924,-0.508021413,0.948328886,0.874805541,0.107510914,2.557877789,0.070690576,0.454174656,1.060828529,-0.624732311,0.171076482,-0.905250306,-3.550757386,,0.139293698,0.03651835,2.557877789,-3.570306578
NovDiff,1.342489109,4.020318691,1.03193613,0.454936028,-1.770331371,-2.624582937,-0.806879898,-1.790843774,1.579675445,-2.339489114,0.676741468,-0.091313777,-2.875778685,-0.452419085,-0.755560669,-1.543430456,1.153261919,-0.815730178,1.585288522,0.847489946,How much crime increase / decrease ,-0.271866431,-0.158711134,4.020318691,-2.875778685
ActualDecDiff,-0.536995643,2.21117528,-1.26125527,-0.227468014,-0.177033137,-0.874860979,0.36676359,0.089542189,1.354007524,-6.141158924,-1.409878056,-0.730510216,-3.423546054,-1.583466797,0.017171834,-1.34211344,1.400389473,0.815730178,-1.585288523,6.779919573,Actual Dec decrease ,-0.382231829,-0.312943771,6.779919573,-6.141158924
,-0.516858505,-1.359131298,-1.22603792,-0.661282282,1.016676122,0.095297167,0.583677666,1.731362113,0.845986111,-5.192830038,-0.535072515,-0.622999302,-0.865668265,-1.512776221,0.47134649,-0.281284911,0.775657162,0.98680666,-2.490538829,3.229162187,Pred Dec decrease ,-0.399071708,-0.27642542,3.229162187,-5.192830038
Using Mean for missing ,3.185360522,3.855851108,5.055444677,4.818186109,4.715519015,7.113216256,1.720454659,1.912946759,3.990219142,3.283260291,4.470595147,3.171078437,3.236807179,2.693950005,3.942496838,2.858091575,2.973019363,4.074531042,3.434791799,6.452480276,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Robbery,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-14,0,0.201015935,1.1465957,1.933478117,1.770331371,2.624582937,0.36676359,0.358168755,0.451335841,0,2.763360991,0.639196439,0.547767369,0.452419085,2.524259508,0.872373736,0.329503405,0.906366865,0.792644261,2.54246984,,,,,
